donor_type	acceptor_type	donor	acceptor	R0
AlexaFluor	AlexaFluor	568	700	7.01536149012503
AlexaFluor	AlexaFluor	568	750	6.528749676954979
AlexaFluor	AlexaFluor	568	790	5.669569228244056
AlexaFluor	ATTO	568	390	1.4444789552573667
AlexaFluor	ATTO	568	488	2.0049690800616045
AlexaFluor	ATTO	568	495	0.8640123666047803
AlexaFluor	ATTO	568	520	2.2325063951357618
AlexaFluor	ATTO	568	550	3.7971912944066197
AlexaFluor	ATTO	568	610	6.915903237252432
AlexaFluor	ATTO	568	647N	6.64884369318589
AlexaFluor	ATTO	568	Thio12	5.769727398348052
AlexaFluor	Lumiprobe	568	Cy3	3.6890716399427093
AlexaFluor	Lumiprobe	568	Cy3W	3.7982170017642916
AlexaFluor	Lumiprobe	568	Cy3b	4.037152019668602
AlexaFluor	Lumiprobe	568	Cy5	7.391438398887707
AlexaFluor	Lumiprobe	568	Cy5W	7.49147225611967
AlexaFluor	Lumiprobe	568	Cy55	7.250840478319371
AlexaFluor	Lumiprobe	568	Cy7	6.134255183402777
AlexaFluor	Lumiprobe	568	Cy75	5.663074438555607
AlexaFluor	CF	568	660R	6.250908515973644
AlexaFluor	AlexaFluor	594	430	1.2601104500413645
AlexaFluor	AlexaFluor	594	514	1.7538497625303622
AlexaFluor	AlexaFluor	594	532	2.927391894243664
AlexaFluor	AlexaFluor	594	546	3.7208234669697426
AlexaFluor	AlexaFluor	594	555	2.485182268880844
AlexaFluor	AlexaFluor	594	568	4.737655494805884
AlexaFluor	AlexaFluor	594	594	5.49550747211864
AlexaFluor	AlexaFluor	594	610	6.621687821638885
AlexaFluor	AlexaFluor	594	633	7.041189438065372
AlexaFluor	AlexaFluor	594	635	6.842151880036311
AlexaFluor	AlexaFluor	594	647	7.633011633649846
AlexaFluor	AlexaFluor	594	660	7.258613324875064
AlexaFluor	AlexaFluor	594	680	7.253359901798326
AlexaFluor	AlexaFluor	594	700	7.346866941196868
AlexaFluor	AlexaFluor	594	750	6.9915437962220635
AlexaFluor	AlexaFluor	594	790	6.085055451551728
AlexaFluor	ATTO	594	390	1.1383168844514635
AlexaFluor	ATTO	594	488	1.7761303923545921
AlexaFluor	ATTO	594	520	1.84710229021479
AlexaFluor	ATTO	594	550	2.7312923432511194
AlexaFluor	ATTO	594	610	6.774013840810253
AlexaFluor	ATTO	594	647N	6.847851767074215
AlexaFluor	ATTO	594	Thio12	4.80792392034758
AlexaFluor	Lumiprobe	594	Cy3	2.4419985693988586
AlexaFluor	Lumiprobe	594	Cy3W	2.514247862293849
AlexaFluor	Lumiprobe	594	Cy3b	2.7002763401238132
AlexaFluor	Lumiprobe	594	Cy5	7.586192866688043
AlexaFluor	Lumiprobe	594	Cy5W	7.688862481613685
AlexaFluor	Lumiprobe	594	Cy55	7.515410343362817
AlexaFluor	Lumiprobe	594	Cy7	6.541655416165624
AlexaFluor	Lumiprobe	594	Cy75	6.030941263218247
AlexaFluor	CF	594	660R	6.394836148641441
AlexaFluor	AlexaFluor	647	532	2.35064582802019
AlexaFluor	AlexaFluor	647	546	2.899738511049696
AlexaFluor	AlexaFluor	647	568	1.3353559630307177
AlexaFluor	AlexaFluor	647	594	2.647554307370709
AlexaFluor	AlexaFluor	647	610	2.8065522356703223
AlexaFluor	AlexaFluor	647	633	4.678412765682649
AlexaFluor	AlexaFluor	647	635	4.576628575076726
AlexaFluor	AlexaFluor	647	647	6.495740210781414
AlexaFluor	AlexaFluor	647	660	6.5668044267850405
AlexaFluor	AlexaFluor	647	680	7.079371935535053
AlexaFluor	AlexaFluor	647	700	7.185698484339232
AlexaFluor	AlexaFluor	647	750	7.315298867046437
AlexaFluor	AlexaFluor	647	790	6.567618447946198
AlexaFluor	ATTO	647	550	1.011448961794538
AlexaFluor	ATTO	647	610	3.3824425044043775
AlexaFluor	ATTO	647	647N	5.549419439267513
AlexaFluor	ATTO	647	Thio12	1.9040988801700518
AlexaFluor	Lumiprobe	647	Cy5	6.120856183091581
AlexaFluor	Lumiprobe	647	Cy5W	6.2036943020765
AlexaFluor	Lumiprobe	647	Cy55	7.276562514005091
AlexaFluor	Lumiprobe	647	Cy7	6.8226726933657575
AlexaFluor	Lumiprobe	647	Cy75	6.441271505937168
AlexaFluor	CF	647	660R	6.021035676120234
AlexaFluor	AlexaFluor	660	532	2.0400734364531914
AlexaFluor	AlexaFluor	660	546	2.5190969982777647
AlexaFluor	AlexaFluor	660	568	1.2918598665540517
AlexaFluor	AlexaFluor	660	594	2.2976218264976276
AlexaFluor	AlexaFluor	660	610	2.4395539052589768
AlexaFluor	AlexaFluor	660	633	3.913118414140405
AlexaFluor	AlexaFluor	660	635	3.8383458964981045
AlexaFluor	AlexaFluor	660	647	5.7062939303950975
AlexaFluor	AlexaFluor	660	660	6.353492179332022
